POSIÇÃO 	 CÓDIGO 	KVA	LP	SERIAL	FABRICANTE	ANO DE FABRICAÇÃO 	ENRROLAMENTO	INSPEÇÃO 
B-8-3	397972	45	179815	1401436	ROMAGNOLE	set/22	ALUMINIO	TRIF
B-83-1	397001	150	148587	929706	ITB	jan/15		
B-83-2	397973	75	181048	1455847	ROMAGNOLE 	abr/23	ALUMINIO	REPARADO
B-84-1	397001	150	182064	1481091	ROMAGNOLE	nov/23		
B-84-2	397973	75	178275	1385094	ROMAGNOLE 	ago/22	ALUMINIO	REPARADO
B-85-1	397033	225	165198	1046010423	WEG	nov/18	ALUMINIO	RET-SEM-REP-AP
B-85-2	397973	75	176836	1349300	ROMAGNOLE 	fev/22	ALUMINIO	REPARADO
B-86-1	397977	112,5	172162	1342430	ITB	fev/21		FURADO
B-86-2	397973	75	178464	1384859	ROMAGNOLE	ago/22		
B-9-1	397974	112,5	172821	1346037	ITB	fev/21	ALUMINIO	
B-9-1	397001	150	174848	1387335	ITB	jul/21	ALUMINIO	REP-JAN-24
B-9-2	397973	75	184179	1541078	ROMAGNOLE	mai/24		
B-9-3	397972	45	170720	1254953	ROMAGNOLE	jul/20		
B-96-2	397976	75	183796	1537476	ROMAGNOLE	mai/24		
C1-	397977	112,5	181464	1471925	ROMAGNOLE	ago/23		
C1-	397142	30	182972	1530655	ROMAGNOLE	fev/24		
C-10-1	397134	300	166599	1177107	ROMAGNOLE	abr/19	ALUMINIO	FURADO
C-10-2	397974	112,5	105120	271610	ABB	fev/08	COBRE	PCB
C-10-3	397972	45	173480	1290246	ROMAGNOLE	abr/21	ALUMINIO	TRIF/AP
C-1-1	397001	150	127345	327867	ABB	out/11		
C-11-1	397001	150	136311	850613	ROMAGNOLE	dez/12		
C-11-2	397973	75	177911	1378653	ROMAGNOLE	jul/22	ALUMINIO	TRIF
C-11-3	397141	15	107030	657383	ROMAGNOLE	fev/08		
C-1-2	397974	112,5	109404	284897	ABB	fev/09		
C-12-1	397974	112,5	142278	871511	ITB	fev/14		
C-12-2	397973	75	161513	1117924	ROMAGNOLE	fev/18		
C-12-3	397971	30	164715	1146012	ROMAGNOLE	fev/18		
C-1-3	397970	15	178778	1467567	ITB	fev/22		
C-13-1	397001	150	144310	924024	ROMAGNOLE 	fev/14	ALUMINIO	REP-JAN-24
C-13-3	397141	15	107034	657387	ROMAGNOLE	fev/08		
C-14-1	397001	150	113337	737331	ROMAGNOLE	fev/10		
C-14-2	397974	112,5	121103	775225	ROMAGNOLE	jan/11		
C-14-3	397972	45	166379	1177017	ROMAGNOLE	abr/19		
C-15-1	397001	150	163817	1135977	ROMAGNOLE 	jul/05	ALUMINIO	REPARADO
C-15-2	397976	75	132722	825056	ROMAGNOLE	ago/13		
C-16-1	397977	112,5	146744	938915	ROMAGNOLE	fev/14		
C-16-2	397973	75	157573	1043189	ROMAGNOLE	jul/16		
C-17-1	397001	150	124080	790377	ROMAGNOLE	mar/11		
C-17-2	397973	75	165710	1074388	ROMAGNOLE	fev/17		
C-1-77	397977	112,5AP	176292	1422069	ITB	mar/22		
C-18-1	397134	300	179551	1074664691	WEG	out/22	ALUMINIO	FURADO
C-18-2	397974	112,5	160502	1098967	ROMAGNOLE	mai/17	ALUMINIO	
C-19-1	397973	75	137974	856422	ROMAGNOLE	fev/13		
C-19-2	397974	112,5	127321	327843	ABB	out/11		
C-19-3	397974	112,5	111554	723868	ROMAGNOLE	nov/09		
C1-A-02	397001	150	182674	1506178	ROMAGNOLE	jan/24	ALUMINIO	TRIF
C1-A-03	397001	150	180635	1486060	ITB	nov/22	ALUMINIO	TRIF
C1-A-04	397001	150	182739	1506243	ROMAGNOLE	jan/24	ALUMINIO	TRIF
C1-A-05	397001	150	178761	146591	ITB	set/22	ALUMINIO	TRIF
C1-A-06	397001	150	182061	1481088	ROMAGNOLE	out/23	ALUMINIO	TRIF
C1-A-07	397001	150	181712	1476264	ROMAGNOLE	set/23	ALUMINIO	TRIF
C1-A-08	397001	150	183214	1589358	ITB	mar/24	ALUMINIO	TRIF
C1-A-09	397001	150	170451	1245203	ROMAGNOLE	dez/22	ALUMINIO	REP-DEZ-22
C1-A-09	397977	112,5AP	181261	1547844	ITB	ago/23	ALUMINIO	TRIF/AP
C1-A-10	397001	150	182052	1481079	ROMAGNOLE	nov/23	ALUMINIO	TRIF
C1-A-11	397001	150	182063	1481090	ROMAGNOLE	nov/23	ALUMINIO	TRIF
C1-A-12	397001	150	181427	1471888	ROMAGNOLE	ago/23	ALUMINIO	TRIF
C1-A-13	397001	150	180648	1486073	ITB	nov/22	ALUMINIO	TRIF
C1-A-14	397001	150	181525	1552915	ITB	jan/23	ALUMINIO	TRIF
C1-A-15	397001	150	180459	1478307	ITB	out/22	ALUMINIO	TRIF
C1-A-16	397001	150	182075	1481102	ROMAGNOLE	out/23	ALUMINIO	TRIF
C1-A-17	397001	150	181524	15522914	ITB	ago/23	ALUMINIO	TRIF
C1-A-18	397033	225	184325	1605995	ROMAGNOLE	mai/24	ALUMINIO	TRIF
C1-A-19	397033	225	177443	1067802265	WEG	mai/22	ALUMINIO	TRIF
C1-A-20	397033	225	176967	1065969972	WEG	mar/22	ALUMINIO	TRIF
C1-A-21	397974	112,5	180369	1478267	ITB	out/22	ALUMINIO	
C1-A-22	397033	225	179309	1074432496	WEG	nov/22	ALUMINIO	TRIF
C1-A-23	397974	112,5	181242	1547825	ITB	ago/23	ALUMINIO	TRIF
C1-A-27	397977	112,5AP	176932	1349278	ROMAGNOLE	fev/22	ALUMINIO	TRIF/AP
C1-A-28	397033	225	184686	155757	ROMAGNOLE	set/24	ALUMINIO	
C1-A-30	397973	75	181868	15576997	ITB	set/23	ALUMINIO	TRIF
C1-A-31	397977	112,5AP	181462	1471923	ROMAGNOLE	ago/23	ALUMINIO	TRIF/AP
C1-A-32	397974	112,5	180533	1483969	ITB	nov/22	ALUMINIO	TRIF
C1-A-36	397974	112,5	181804	1088709060	WEG	jan/23	ALUMINIO	TRIF
C1-A-37	397977	112,5AP	181262	1547845	ITB	ago/23	ALUMINIO	TRIF/AP
C1-A-38	397145	112,5	182116	1481168	ROMAGNOLE	dez/23	ALUMINIO	TRIF
C1-A-39	397001	150	181707	1476259	ROMAGNOLE	set/23	ALUMINIO	
C1-A-40	397974	112,5	181567	1552891	ITB	ago/23	ALUMINIO	REPARADO
C1-A-40	397001	150	182683	1506187	ROMAGNOLE	jan/24	ALUMINIO	
C1-A-41	397977	112,5AP	181474	1471935	ROMAGNOLE	ago/23	ALUMINIO	
C1-A-42	397001	150	182685	1506189	ROMAGNOLE	jan/24	ALUMINIO	
C1-A-43	397134	300	184262	1095249326	WEG	abr/24	ALUMINIO	
C1-A-45	397977	112,5AP	181772	1476324	ROMAGNOLE	ago/23	ALUMINIO	TRIF/AP
C1-A-45	397001	150	182953	153953	ROMAGNOLE	fev/24	ALUMINIO	
C1-A-46	397977	112,5AP	179119	1477405	ITB	out/22	ALUMINIO	TRIF/AP
C1-A-47	397001	150	180809	1486175	ITB	dez/22	ALUMINIO	
C1-A-48	397001	150	180797	1486163	ITB	dez/24	ALUMINIO	
C1-A-50	397973	75	181087	1455886	ROMAGNOLE	abr/23	ALUMINIO	TRIF
C1-A-50	397974	112,5	181906	1580563	ITB	jan/24	ALUMINIO	REPARADO
C1-A-52	397974	112,5	180523	143359	ITB	nov/23	ALUMINIO	REPARADO
C1-B-23	397973	75	181051	1455850	ROMAGNOLE	abr/23	ALUMINIO	TRIF
C1-B-24	397973	75	182613	1506117	ROMAGNOLE	jan/24	ALUMINIO	TRIF
C1-B-25	397973	75	166046	1174801	ROMAGNOLE	jan/19	ALUMINIO	TRIF
C1-B-28	397973	75	182553	121223	ITB	dez/23	ALUMINIO	TRIF
C1-B-30	397973	75	182833	1574079	ITB	dez/23	ALUMINIO	TRIF
C1-B-32	397973	75	176232	1418923	ITB	fev/22	ALUMINIO	TRIF
C1-B-32	397973	75	182816	1574062	ITB	jan/23	ALUMINIO	TRIF
C1-B-33	397973	75	181637	1476189	ROMAGNOLE	set/23	ALUMINIO	TRIF
