POSIÇÃO 	 CÓDIGO 	KVA	LP	SERIAL	FABRICANTE	ANO DE FABRICAÇÃO 	ENRROLAMENTO	INSPEÇÃO 
C1-B-34	397973	75	178536	1384931	ROMAGNOLE	ago/22	ALUMINIO	TRIF
C1-B-35	397973	75	181881	1557710	ITB	set/23	ALUMINIO	TRIF
C1-B-37	397973	75	181101	1526158	ITB	jan/23	ALUMINIO	TRIF
C1-B-38	397973	75	181351	1471812	ROMAGNOLE	jan/23	ALUMINIO	TRIF
C1-B-39	397973	75	182596	1506100	ROMAGNOLE	jan/24	ALUMINIO	TRIF
C1-B-40	397973	75	182293	1481756	ROMAGNOLE	nov/23	ALUMINIO	TRIF
C1-B-41	397973	75	182279	1481742	ROMAGNOLE	nov/23	ALUMINIO	TRIF
C1-B-42	397973	75	181075	1455874	ROMAGNOLE	abr/23	ALUMINIO	TRIF
C1-B-43	397976	75AP	182381	1480920	ROMAGNOLE	nov/23	ALUMINIO	TRIF/AP
C1-B-44	397976	75AP	169853	1235395	ROMAGNOLE	jun/20	ALUMINIO	REP-OUT-22
C1-B-45	397973	75	182556	1573786	ITB	dez/23	ALUMINIO	TRIF
C1-B-46	397973	75	181641	1476193	ROMAGNOLE	set/23	ALUMINIO	TRIF
C1-B-47	397973	75	181052	1455851	ROMAGNOLE	abr/23	ALUMINIO	TRIF
C1-B-49	397976	75AP	181951	1580147	ITB	jan/24	ALUMINIO	TRIF/AP
C1-B-52	397973	75	178262	1385081	ROMAGNOLE	ago/22	ALUMINIO	TRIF
C1-C-30	397972	45	176395	345370	ROMAGNOLE	jan/22	ALUMINIO	TRIF
C1-C-33	397972	45	177171	1352890	ROMAGNOLE	mar/22	ALUMINIO	TRIF
C1-C-36	397972	45	176617	1422935	ITB	mar/22	ALUMINIO	TRIF
C1-C-39	397972	45	176371	1345346	ROMAGNOLE	jan/22	ALUMINIO	TRIF
C1-C-40	397147	50	181488	1471949	ROMAGNOLE	jan/23	ALUMINIO	ISOL
C1-C-45	397972	45	179879	1401500	ROMAGNOLE	set/22	ALUMINIO	TRIF
C1-C-46	397971	30	183058	1530638	ROMAGNOLE	fev/24	ALUMINIO	TRIF
C1-C-50	397972	45	180130	1401908	ROMAGNOLE	nov/22	ALUMINIO	TRIF
C1-C-51	397973	75	178546	1384941	ROMAGNOLE	ago/22	ALUMINIO	TRIF
C1-P1	397974	112,5	181502	1086477334	WEG	dez/23	ALUMINIO	TRIF
C1-P1	397977	112,5AP	181769	1476321	ROMAGNOLE	ago/23	ALUMINIO	TRIF/AP
C-20-1	397974	112,5	132690	827831	ROMAGNOLE	jan/10		
C-20-2	397974	112,5	152407	997381	ROMAGNOLE	jul/15		
C-2-1	397973	75	137983	856431	ROMAGNOLE	jan/13		
C-21-1	397974	112,5	159706	1084667	ROMAGNOLE 	fev/17	ALUMINIO	REPARADO
C-21-2	397976	75AP	174637	1313356	ROMAGNOLE	jul/21	ALUMINIO	
C-21-3	397973	75	159489	1084942	ROMAGNOLE	mar/17	ALUMINIO	TRIF
C-2-2	397974	112,5	177894	1378636	ROMAGNOLE	jul/22		
C-22-1	397974	112,5	144163	0	ROMAGNOLE	fev/14		REP-DEZ-22
C-22-2	397974	112,5	162985	1132388	ROMAGNOLE	abr/18	ALUMINIO	REP-NOV-22
C-22-3	397973	75	152912	1001576	ROMAGNOLE	jul/15		
C-2-3	397142	30	157304	1038789	ROMAGNOLE	fev/15		
C-23-1	397001	150	141980	907863	ROMAGNOLE	nov/13		
C-23-2	397974	112,5	154102	970448	ITB	dez/19		
C-23-3	397973	75	129523	812517	ROMAGNOLE	dez/11		
C-24-1	397001	150	122649	782857	ROMAGNOLE	fev/11		
C-24-2	397977	112,5	137801	853141	ROMAGNOLE	dez/12		
C-25-1	397974	112,5	111995	734142	ROMAGNOLE	abr/19		
C-25-2	397001	150	143915	915925	ROMAGNOLE	jan/14		
C-25-3	397971	30	174158	1304988	ROMAGNOLE	jun/21		
C-26-1	397974	112,5	174021	1367586	ITB	jun/21		
C-26-2	397974	112,5	123772	784883	ROMAGNOLE	fev/11		
C-26-3	397971	30	173691	1365392	ITB	jun/21		
C-27-1	397974	112,5		774663	ROMAGNOLE	dez/10		
C-27-2	397976	75	129705	812949	ROMAGNOLE	dez/11		
C-27-3	397142	30	182969	1530652	ROMAGNOLE	fev/24		
C-27-4	397142	30	168864	1220386	ROMAGNOLE	jan/20		
C-28-1	397001	150	119066	317498	ABB	nov/11		
C-28-2	397001	150	142824	912484	ROMAGNOLE	dez/13		
C-28-3	397143	45	169242	1225592	ROMAGNOLE	jun/20		
C-29-1	397977	112,5AP	163763	1136063	ROMAGNOLE 	abr/16	ALUMINIO	REPARADO
C2-A-01	397033	225	160681	1096079	ITB	jun/17	ALUMINIO	TRIF
C2-A-07	397033	225	161893	1122620	ITB	jan/18	ALUMINIO	TRIF
C2-A-08	397972	45	167456	1184672	ROMAGNOLE	mai/19	ALUMINIO	TRIF
C2-A-09	397972	45	171547	1269798	ROMAGNOLE	dez/20	ALUMINIO	TRIF/AP
C2-A-10	397024	112,5AP	166594	1176011	ROMAGNOLE	mar/19	ALUMINIO	BLINDADO
C2-A-11	397144	75	168419	1220013	ROMAGNOLE	jan/20	ALUMINIO	
C2-A-12	397972	45	171490	126637	ROMAGNOLE	jan/21	ALUMINIO	TRIF/AP
C2-A-17	397972	45	168074	1201345	ROMAGNOLE	out/19	ALUMINIO	TRIF
C2-A-19	334975	45AP	171450	1266597	ROMAGNOLE	jan/21	ALUMINIO	TRIF/AP
C2-B-04	397022	45AP	171418	1266565	ROMAGNOLE	jan/21	ALUMINIO	BLINDADO
C2-B-08	397972	45	177170	1352889	ROMAGNOLE	mar/22	ALUMINIO	TRIF
C2-B-22	397972	45	162317	1124788	ROMAGNOLE	jan/18	ALUMINIO	TRIF
C2-B-27	397972	45	180143	1401921	ROMAGNOLE	jan/22	ALUMINIO	TRIF
C2-B-28	397972	45	172254	1339163	ITB	jan/21	ALUMINIO	TRIF/AP
C2-P2	397143	45	105690	624224	ROMAGNOLE	fev/08	COBRE	SUCATA
C2-P2	396027	500	111646	336239	ABB	fev/10	ALUMINIO	SUBTERRÃNEO
C2-P2	397974	112,5	170199	1245027	ROMAGNOLE	jul/20	ALUMINIO	SUCATA
C2-P2	397971	30	181160	1463593	ROMAGNOLE	mai/23		SUCATA
