CÓDIGO 	KVA	LP	SERIAL	FABRICANTE 	DATA	GALPAO	POSIÇÃO 		
397977	112,5	146201	932898	ROMAGNOLE	mai/14	1	C1-B-49		
397972	45	176785	1349460	ROMAGNOLE	dez/22	1	C1-C-49		
397977	112,5	153496	1005066	ROMAGNOLE	ago/15	1	C1-A-50		
397972	45	170091	1244865	ROMAGNOLE	jul/20	1	C1-B-50		
397972	45	158926	1061567	ITB	jan/17	1	C1-C-50		
397033	225	160681	1096079	ITB	jun/17	1	C1-A-51		
397972	45	163557	1136442	ROMAGNOLE	abr/18	1	C1-B-51		
397972	45	168067	1201338	ROMAGNOLE	out/19	1	C1-C-51		
397033	225	170670	1254994	ROMAGNOLE	jul/20	1	C1-A-52		
397977	112,5	157575	1043191	ROMAGNOLE	jul/16	1	C1-B-52		
397973	75	174588	1313292	ROMAGNOLE	jul/21	1	C1-C-52		
397001	150	142820	912365	ROMAGNOLE	dez/13	1	C1-P-01		
397974	112,5	173217	1283237	ROMAGNOLE	mai/21	1	C1-P-01		
397977	112,5	140583	884750	ROMAGNOLE	jun/13	1	C1-P-01		
397973	75	171754	1331584	ITB	dez/20	1	C1-P-01		
397973	75	175056	1316748	ROMAGNOLE	ago/21	1	C1-P-01		
397001	150	137718	856358	ROMAGNOLE	jan/13	1	C1-P-01		
397974	112,5	138679	404522	ABB	fev/13	1	C1-P-01		
397973	75	168209	1206808	ROMAGNOLE	nov/19	1	C1-P-01		
397973	75	174201	1313192	ROMAGNOLE	jun/21	1	C1-P-01		
397974	112,5	172101	1339275	ITB	jan/21	1	C1-P-01		
397973	75	152060	958165	ITB	jul/15	1	C1-P-01		
397001	150	163877	1136536	ROMAGNOLE	abr/18	1	C1-P-01		
397033	225	170672	1254996	ROMAGNOLE	jul/20	1	C1-P-01		
397001	150	143960	920593	ROMAGNOLE	jan/14	1	C1-P-01		
397001	150	154871	981857	ITB	nov/15	1	C1-P-01		
397974	112,5	142014	875632	ITB	fev/14	1	C1-P-01		
397977	112,5	158907	1068291	ROMAGNOLE	dez/16	1	C1-P-01		
397977	112,5	145289	930010	ROMAGNOLE	abr/14	1	C1-P-01		
397974	112,5	143035	875653	ITB	fev/14	1	C1-P-01		
397976	75	138297	856310	ROMAGNOLE	jan/13	1	C1-P-01		
397001	150	132874	824920	ROMAGNOLE	abr/12	1	C1-P-01		
397974	112,5	153275	1004907	ROMAGNOLE	ago/15	1	C1-P-01		
397974	112,5	157258	1035849	ITB	ago/16	1	C1-P-01		
397977	112,5	150378	949989	ROMAGNOLE	dez/14	1	C1-P-01		
397974	112,5	172474	1276205	ROMAGNOLE	dez/20	1	C1-P-01		
397977	112,5	174975	1388124	ITB	set/21	1	C1-P-01		
397977	112,5	162542	1125058	ROMAGNOLE	mar/18	1	C1-P-01		
397977	112,5	141151	895679	ROMAGNOLE	ago/13	1	C1-P-01		
397977	112,5	157028	1180580	ROMAGNOLE	mai/19	1	C1-P-01		
397974	112,5	154377	981666	ITB	nov/15	1	C1-P-01		
397977	112,5	173066	1350893	ITB	mar/21	1	C1-P-01		
397974	112,5	170191	1245019	ROMAGNOLE	jul/20	1	C1-P-01		
397973	75	149670	970072	ROMAGNOLE	jan/15	1	C1-P-01		
397974	112,5	139116	860130	ROMAGNOLE	mai/13	1	C1-P-01		
397974	112,5	149248	961240	ROMAGNOLE	nov/14	1	C1-P-01		
397973	75	175586	175586	ROMAGNOLE	ago/21	1	C1-P-01		
397974	112,5	166096	1174851	ROMAGNOLE	mar/19	1	C1-P-01		
397974	112,5	150618	939867	ITB	mar/15	1	C1-P-01		
397974	112,5	173881	1297852	ROMAGNOLE	mai/21	1	C1-P-01		
397001	150	143846	914921	ROMAGNOLE	jan/14	1	C1-P-01		
397001	150	143822	914727	ROMAGNOLE	jan/14	1	C1-P-01		
397974	112,5	165918	1169580	ROMAGNOLE	fev/19	1	C1-P-01		
397974	112,5	163683	1136502	ROMAGNOLE	abr/18	1	C1-P-01		
397973	75	166409	1175928	ROMAGNOLE	mai/19	1	C1-P-01		
397977	112,5	169965	1240655	ROMAGNOLE	jun/20	1	C1-P-01		
397974	112,5	160752	1093253	ROMAGNOLE	jun/17	1	C1-P-01		
397977	112,5	147763	952687	ROMAGNOLE	out/14	1	C1-P-01		
397001	150	150476	970576	ROMAGNOLE	jan/15	1	C1-P-01		
313145	112,5	172290	1339322	ITB	jan/21	1	C1-P-01		
397973	75	163630	1136489	ROMAGNOLE	abr/18	1	C1-P-01		
397974	112,5	170276	1245254	ROMAGNOLE	jul/20	1	C1-P-01		
397001	150	162092	1122178	ROMAGNOLE	jan/18	1	C1-P-01		
397977	112,5	163769	1136069	ROMAGNOLE	abr/18	1	C1-P-01		
397001	150	149480	963223	ROMAGNOLE	nov/14	1	C1-P-01		
397977	112,5	154453	970319	ITB	set/15	1	C1-P-01		
397001	150	175961	1320187	ROMAGNOLE	ago/21	1	C1-P-01		
397974	112,5	143003	875621	ITB	fev/14	1	C1-P-01		
397977	112,5	148417	959562	ROMAGNOLE	out/14	1	C1-P-01		
397001	150	146916	917463	ITB	set/14	1	C1-P-01		
397001	150	155328	1000791	ITB	mar/16	1	C1-P-01		
397001	150	170372	1244959	ROMAGNOLE	jul/20	1	C1-P-01		
397134	300	166204	1174694	ROMAGNOLE	mar/19	1	C1-P-01		
397001	150	162063	1121885	ROMAGNOLE	jan/18	1	C1-P-01		
397001	150	155604	1005428	ITB	abr/16	1	C1-P-01		
397974	112,5	163705	1136524	ROMAGNOLE	abr/18	1	C1-P-01		
397974	112,5	157274	1035865	ITB	ago/16	1	C1-P-01		
397974	112,5	147893	923020	ITB	nov/14	2	C2-P-01		
397971	15	168854	1220357	ROMAGNOLE	jan/20	2	C2-P-01		
397397	112,5	171122	1324156	ITB	out/20	2	C2-P-01		
397033	225	170651	1254975	ROMAGNOLE	jul/20	2	C2-P-01		
397978	5	172352	1343911	ITB	fev/21	2	C2-P-01		
397973	75	169304	1225654	ROMAGNOLE	mai/20	2	C2-P-01		
397977	112,5	171124	1324158	ITB	out/20	2	C2-P-01		
397977	112,5	151606	949847	ITB	mai/15	2	C2-P-01		
397001	150	148304	957071	ROMAGNOLE	out/14	2	C2-P-01		
397001	150	138522	859259	ROMAGNOLE	mar/13	2	C2-P-01		
397973	75	136067	854598	ROMAGNOLE	jan/13	2	C2-P-01		
397978	5	175929	1403904	ITB	dez/21	2	C2-P-01		
397977	112,5	171739	1333733	ITB	dez/20	2	C2-P-01		
397033	225	173163	1283290	ROMAGNOLE	abr/21	2	C2-P-01		
397974	112,5	147965	923092	ITB	nov/14	2	C2-P-01		
397973	75	146251	905659	ITB	jul/14	2	C2-P-01		
397976	75	157725	1053930	ROMAGNOLE	set/16	2	C2-P-01		
397977	1125	170331	1254658	ROMAGNOLE	ago/20	2	C2-P-01		
397974	112,5	158844	1068248	ROMAGNOLE	dez/16	2	C2-P-01		
397974	112,5	165115	1156485	ROMAGNOLE	nov/18	2	C2-P-01		
397977	112,5	173037	1350629	ITB	mar/21	2	C2-P-01		
397001	150	-	1136011	ROMAGNOLE	-	2	C2-P-01		
397972	45	166356	1175871	ROMAGNOLE	mar/19	2	C2-P-01		
397974	112,5	172087	1339261	ITB	jan/21	2	C2-P-01		
397974	112,5	160514	1098979	ROMAGNOLE	mai/17	2	C2-P-01		
397977	112,5	169987	1240677	ROMAGNOLE	jul/20	2	C2-P-01		
397976	75	163123	1132454	ROMAGNOLE	mar/18	2	C2-P-01		
397973	75	139600	871636	ROMAGNOLE	abr/13	2	C2-P-01		
397001	150	152848	1001711	ROMAGNOLE	ago/15	2	C2-P-01		
397977	112,5	157781	1052775	ROMAGNOLE	ago/16	2	C2-P-01		
397977	112,5	169989	1240679	ROMAGNOLE	jun/20	2	C2-P-01		
397001	150	161407	1113203	ROMAGNOLE	out/17	2	C2-P-01		
397973	75	147697	952653	ROMAGNOLE	set/14	2	C2-P-01		
397976	75	147269	945777	ROMAGNOLE	ago/14	2	C2-P-01		
397001	150	155999	1017550	ROMAGNOLE	jan/16	2	C2-P-01		
397977	112,5	150095	970163	ROMAGNOLE	jan/15	2	C2-P-01		
397134	300	164854	1147517	ROMAGNOLE	ago/18	2	C2-P-01		
397001	150	137787	856507	ROMAGNOLE	jan/13	2	C2-P-01		
397974	112,5	172597	1319160	ITB	set/20	2	C2-P-01		
397974	112,5	139077	860031	ROMAGNOLE	abr/13	2	C2-P-01		
397977	112,5	166940	1180407	ROMAGNOLE	abr/19	2	C2-P-01		
397974	112,5	68581	1217412	ROMAGNOLE	jan/20	2	C2-B-01		
397033	225	168801	1052114400	WEG	fev/20	2	C2-A-01		
397972	45	173463	1290229	ROMAGNOLE	abr/21	2	C2-B-02		
397974	112,5	142327	871560	ITB	fev/14	2	C2-A-02		
397972	45	162313	1124784	ROMAGNOLE	jan/18	2	C2-B-03		
397974	112,5	149732	966130	ROMAGNOLE	dez/14	2	C2-A-03		
397977	112,5	147422	946789	ROMAGNOLE	set/14	2	C2-B-04		
397033	225	160679	1096077	ITB	jun/17	2	C2-A-04		
397972	45	170733	1254866	ROMAGNOLE	jul/20	2	C2-B-05		
397977	112,5	148924	961112	ROMAGNOLE	nov/14	2	C2-A-05		
397976	75	169883	1235577	ROMAGNOLE	jun/20	2	C2-B-06		
397033	225	157825	1048537	ROMAGNOLE	jul/16	2	C2-A-06		
397974	112,5	173898	1303807	ROMAGNOLE	jun/21	2	C2-B-07		
397033	225	166681	1047798372	WEG	mai/19	2	C2-A-07		
397001	150	13916	860373	ROMAGNOLE	mar/13	2	C2-B-08		
397033	225	170934	1257867	ROMAGNOLE	set/20	2	C2-A-08		
397001	150	160622	1098937	ROMAGNOLE	mai/17	2	C2-B-09		
397977	112,5	162513	1125026	ROMAGNOLE	fev/19	2	C2-A-09		
397001	150	172063	1340620	ROMAGNOLE	fev/21	2	C2-B-10		
397001	150		139140	 CONTRAFO	2014	2	C2-A-10		
397001	150	140456	875034	ROMAGNOLE	jan/13	2	C2-B-11		
397977	112,5	162516	1125029	ROMAGNOLE	fev/18	2	C2-A-11		
397001	150	173438	1290268	ROMAGNOLE	mar/21	2	C2-B-12		
397033	225	161882	1122537	ITB	jan/16	2	C2-A-12		
397978	5	172354	1343913	ITB	fev/21	2	C2-B-13		
397978	5	172353	1343912	ITB	fev/21	2	C2-B-13		
397134	300	166216	1174706	ROMAGNOLE	mar/19	2	C2-A-13		
397147	50	174261	1305001	ROMAGNOLE	jul/21	2	C2-B-14		
397033	225	166660	1047798350	WEG	mai/19	2	C2-A-14		
397978	5	172559	1305896	ITB	jun/20	2	C2-B-15		
397977	112,5	166517	1177099	ROMAGNOLE	abr/19	2	C2-A-15		
397972	45	172408	1276314	ROMAGNOLE	dez/20	2	C2-B-16		
397134	300	162100	1121675	ROMAGNOLE	jan/18	2	C2-A-16		
397972	45	163486	1136386	ROMAGNOLE	abr/18	2	C2-B-17		
397969	100	153784	971258	ITB	set/15	2	C2-A-17		
397974	112,5	170269	1245247	ROMAGNOLE	jul/20	2	C2-B-18		
397972	45	171790	1331661	ITB	dez/20	2	C2-A-18		
397974	112,5	148452	957187	ROMAGNOLE	nov/14	2	C2-B-19		
397969	100	153792	963624	ITB	mai/16	2	C2-A-19		
397973	75	153039	28992393	WEG	nov/15	2	C2-A-20		
397972	45	150235	970662	ROMAGNOLE	fev/15	2	C2-B-21		
397001	150	138777	404099	ABB	mar/13	2	C2-A-21		
397972	45	173197	1283205	ROMAGNOLE	fev/21	2	C2-B-22		
397969	100	152551	965917	ITB	ago/15	2	C2-A-22		
397972	45	160477	1098922	ROMAGNOLE	mai/17	2	C2-B-23		
397001	150	160808	1093289	ROMAGNOLE	-	2	C2-A-23		
397972	45	137893	856141	ROMAGNOLE	jan/13	2	C2-B-24		
397974	112,5	149353	963085	ROMAGNOLE	nov/14	2	C2-A-24		
397972	45	168475	1217246	ROMAGNOLE	jan/20	2	C2-B-25		
397977	112,5	157585	1043201	ROMAGNOLE	jul/16	2	C2-A-25		
397972	45	168072	1201343	ROMAGNOLE	out/19	2	C2-B-26		
397969	100	144805	833217	itb	abr/14	2	C2-A-26		
397972	45	168466	1217237	ROMAGNOLE	jan/20	2	C2-B-27		
397001	150	145461	898505	ITB	jun/14	2	C2-A-27		
397972	45	155109	1504353	OMCT	set/15	2	C2-B-28		
397973	75	158931	1059613	ITB	fev/17	2	C2-A-28		
397975	45	164408	1139549	ROMAGNOLE	jun/18	2	C2-B-29		
397033	225	171630	1055913707	WEG	dez/20	2	C2-A-29		
397972	45	168184	1206768	ROMAGNOLE	nov/19	2	C2-B-30		
397033	225	172785	1057395306	WEG	mar/21	2	C2-A-30		
