Material	Texto breve material	Quantidade	Doc.material	Item doc.material	Tipo de movimento	Centro	Dep¢sito	Data do documento	Data de lanáamento	Unid.medida b†sica	Montante em MI	Texto cabeáalho documento	Pedido	UM pedido	Diagrama de rede
10000723	PARAFUSO CAB QUAD 16MM 50MM AC	-130	4926840523	23	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-360,55	0216	4200439147	PEÄ	
10000724	PARAFUSO CAB QUAD 16MM 125MM AC	-10	4926839651	33	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-48,99	0070	4200441146	PEÄ	
10000724	PARAFUSO CAB QUAD 16MM 125MM AC	-20	4926840523	25	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-97,98	0216	4200439147	PEÄ	
10000726	PARAFUSO CAB QUAD 16MM 300MM AC	-42	4926840142	13	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-342,85	0060	4200439462	PEÄ	
10000726	PARAFUSO CAB QUAD 16MM 300MM AC	-58	4926840711	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-473,46	0060	4200439462	PEÄ	
10000746	PORCA OLH AC 1020 16MM M	-276	4926840523	27	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-2.268,02	0216	4200439147	PEÄ	
10000746	PORCA OLH AC 1020 16MM M	-2	4926839651	37	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-16,43	0070	4200440814	PEÄ	
10000746	PORCA OLH AC 1020 16MM M	-190	4926839651	35	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.561,32	0070	4200440229	PEÄ	
10001265	ISOL ELETR ROLD PORCEL VID	-10	4926839649	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-47,46	0070	4200440229	PEÄ	
10001265	ISOL ELETR ROLD PORCEL VID	-280	4926839649	3	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.328,85	0070	4200440229	PEÄ	
10001265	ISOL ELETR ROLD PORCEL VID	-10	4926839649	5	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-47,46	0070	4200440814	PEÄ	
10001265	ISOL ELETR ROLD PORCEL VID	-270	4926840521	3	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.281,39	0216	4200439147	PEÄ	
10001267	PINO P/ISOL 194MM AC	-16	4926839651	43	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-279,85	0070	4200440814	PEÄ	
10001267	PINO P/ISOL 194MM AC	-114	4926839651	41	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.993,95	0070	4200440229	PEÄ	
10001267	PINO P/ISOL 194MM AC	-5	4926839651	39	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-87,45	0070	4200440229	PEÄ	
10001267	PINO P/ISOL 194MM AC	-129	4926840523	29	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-2.256,31	0216	4200439147	PEÄ	
10001276	ALCA PREF DISTR CA 336,4MCM	-10	4926839374	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-348,95	0070	4200440229	PEÄ	
10001415	ARMACAO P/ISOL SEC 1 ESTR DES: AMR-060	-20	4926839825	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-266,57	0060	4200440137	PEÄ	
