LOTE	KVA	LP	SERIAL	FABRICANTE	DATA	ENROLAMENTO	ÓLEO
397977	112,5	119823	767945	ROMAGNOLE	01/11/10	ALUMÍNIO 	
397973	75	120622	771323	ROMAGNOLE	01/12/10	ALUMÍNIO 	
397974	112,5	120983	774610	ROMAGNOLE	01/11/10	ALUMÍNIO 	
397001	150	122178	782374	ROMAGNOLE	01/01/11	ALUMÍNIO 	
397145	112,5	122288	782975	ROMAGNOLE 	01/02/11	ALUMÍNIO 	
397141	15	124315	792305	ROMAGNOLE	01/05/11	ALUMÍNIO 	
397974	112,5	124531	792423	ROMAGNOLE	01/05/11	ALUMÍNIO 	
397001	150	125558	797272	ROMAGNOLE	02/05/11	ALUMÍNIO 	
397974	112,5	125977	799305	ROMAGNOLE	01/08/11	ALUMÍNIO 	
397001	150	126292	799345	ROMAGNOLE	01/07/11	ALUMÍNIO 	
337975	45AP	127702	804368	ROMAGNOLE 	01/08/11	ALUMÍNIO 	
397974	112,5	129628	851544	ROMAGNOLE	01/12/11	ALUMÍNIO 	
397145	112,5	131824	822370	ROMAGNOLE 	04/07/05	ALUMÍNIO 	
397001	150	132118	823795	ROMAGNOLE	24/06/05	ALUMÍNIO 	
397976	75AP	132720	825054	ROMAGNOLE	01/05/12	ALUMÍNIO 	
397143	45	134437	840361	ROMAGNOLE	01/08/12	ALUMÍNIO 	
397972	45	137068	856026	ROMAGNOLE	01/01/13	ALUMÍNIO 	
397141	15	137838	856134	ROMAGNOLE	01/01/13	ALUMÍNIO 	
397974	112,5	138133	858778	ROMAGNOLE	01/02/13	ALUMÍNIO 	
397977	112,5AP	138307	856320	ROMAGNOLE 	01/01/13	ALUMÍNIO 	
397001	150	138454	858394	ROMAGNOLE	05/07/05	ALUMÍNIO 	
397974	112,5	139100	860054	ROMAGNOLE	05/07/05	ALUMÍNIO 	
397001	150	141819	907677	ROMAGNOLE 	01/11/13	ALUMÍNIO 	
397001	150	141874	907732	ROMAGNOLE 	01/11/13	ALUMÍNIO 	
397145	112,5	143269	877477	ITB	01/02/14	ALUMÍNIO 	
397969	100	153781	971255	ITB	01/09/15	ALUMÍNIO 	
397969	100	153785	977568	ITB	01/10/15	ALUMÍNIO 	
397972	45	153808	977207	ITB	01/10/15	ALUMÍNIO 	
397972	45	156646	1029703	ROMAGNOLE	01/05/16	ALUMÍNIO 	
397144	75	157506	1043122	Romagnole	01/07/16	ALUMÍNIO 	
397972	45	158071	1053157	ITB	01/11/16	ALUMÍNIO 	
397972	45	159413	1084466	ROMAGNOLE	01/05/17	ALUMÍNIO 	
397146	25	160452	579	ROMAGNOLE	01/05/17	ALUMÍNIO 	
397972	45	162310	1.124.781	ROMAGNOLE 	01/01/18	ALUMÍNIO 	
397143	45	163494	1.136.394	ROMAGNOLE 	01/04/18	ALUMÍNIO 	
397972	45	163561	1.136.446	ROMAGNOLE 	01/04/18	ALUMÍNIO 	
397972	45	163566	1.136.451	ROMAGNOLE 	01/04/18	ALUMÍNIO 	
397972	45	163569	1136454	Romagnole	01/04/18	ALUMÍNIO 	
397969	100	164007	1070509	ITB	01/03/17	ALUMÍNIO 	
397972	45	168469	1217240	ROMAGNOLE	01/01/20	ALUMÍNIO 	
397144	75	168828	1220332	ROMAGNOLE	01/01/20	ALUMÍNIO 	
397972	45	169754	1235423	Romagnole	01/06/20	ALUMÍNIO 	
397972	45	169762	1235431	Romagnole	01/06/20	ALUMÍNIO 	
397972	45	169778	1235447	ROMAGNOLE	01/06/20	ALUMÍNIO 	
397972	45	173371	1357175	ITB	01/04/21	ALUMÍNIO 	
397972	45	173972	1367601	ITB	01/06/21	ALUMÍNIO 	
397972	45	175433	1382036	ITB	01/07/21	ALUMÍNIO 	
397972	75	175464	1382067	ITB	01/09/21	ALUMÍNIO 	
397972	45	175497	1387530	ITB	01/09/21	ALUMÍNIO 	
397001	150	140981	879980	Medral	01/06/21	ALUMÍNIO 	
397977	112,5AP	141154	825682	Medral	01/08/23	ALUMÍNIO 	
397976	75AP	109848	700967	ROMAGNOLE	01/04/09	COBRE	
397977	112,5AP	113263	737562	ROMAGNOLE	01/02/10	ALUMÍNIO 	
397142	30	115440	751936	ROMAGNOLE	01/05/10	ALUMÍNIO 	
397973	75	116957	753532	ROMAGNOLE	01/05/10	ALUMÍNIO 	
397001	150	119996	768126	ROMAGNOLE	01/03/14	ALUMÍNIO 	
397141	15	124989	797368	ROMAGNOLE	01/07/11	ALUMÍNIO 	
397001	150	134499	836323	ROMAGNOLE	01/08/12	ALUMÍNIO 	
397973	75	136038	850770	ROMAGNOLE	01/04/12	ALUMÍNIO 	
397001	150	140429	875007	ROMAGNOLE	01/06/13	ALUMÍNIO 	
397977	112,5AP	141178	895706	MEDRAL	01/08/13	ALUMÍNIO 	
397974	112,5	111089	711031	ROMAGNOLE 	01/06/2009	COBRE	
397973	75	112955	737246	ROMAGNOLE 	01/02/2010	ALUMÍNIO 	
397974	112,5	115905	751690	ROMAGNOLE	01/04/2010	ALUMÍNIO 	
397977	112,5AP	116249	740028	RHEDE	01/04/2010	ALUMÍNIO 	
397141	15	119286	774235	ROMAGNOLE	01/10/2010	ALUMÍNIO 	
397147	50	128862	810397	ROMAGNOLE 	01/10/2011	ALUMÍNIO 	
396198	150	132100	823674	ROMAGNOLE	01/05/2012	ALUMÍNIO 	
397973	75	136060	854594	ROMAGNOLE	01/01/2013	ALUMÍNIO 	
397974	112,5	137466	958372	ROMAGNOLE	01/02/2013	ALUMÍNIO 	
397973	75	137958	856406	RHEDE	01/01/2013	ALUMÍNIO 	
397001	150	139439	860396	ROMAGNOLE	01/03/2013	ALUMÍNIO 	
397977	112,5AP	139755	871675	ROMAGNOLE	01/07/2005	ALUMÍNIO 	
397972	45	156860	1028593	ITB	01/07/2016	ALUMÍNIO 	
397972	45	157605	1044867	ITB	01/10/2016	ALUMÍNIO 	
397972	45	158335	1051555	ITB	ja /17	ALUMÍNIO 	
397972	45	160035	1086256	ROMAGNOLE	01/05/2017	ALUMÍNIO 	
397144	75	160448	1098843	ROMAGNOLE	01/05/2017	ALUMÍNIO 	
397972	45	160726	1102120	ROMAGNOLE	01/06/2017	ALUMÍNIO 	
