Material	Texto breve material	Quantidade	Montante em MI	Doc.material	Item doc.material	Centro	Depósito	Tipo de movimento	Data de lançamento	Pedido	Qtd.  UM registro	Item	Data de entrada	Data do documento	Txt.tipo movimento	Nº reserva	Diagrama de rede
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-10.950	-40,94	491441058	1	11	015	905	11/11/2022		-10.950	0	11/11/2022	11/11/2022	SM para Alienação	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	363,500	0,00	500089062	1	11	015	101	10/11/2022	4500512066	363,500	39	10/11/2022	10/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	50,500	0,00	500089053	1	11	015	101	10/11/2022	4500513445	50,500	1	10/11/2022	10/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	32	0,00	500088748	3	11	015	101	10/11/2022	4500494589	32	3	10/11/2022	10/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-8.490	-32,01	491436006	1	11	015	905	10/11/2022		-8.490	0	10/11/2022	10/11/2022	SM para Alienação	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	1.601,700	0,00	500088236	1	11	015	101	09/11/2022	4500496971	1.601,700	3	09/11/2022	09/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-7.990	-30,15	491431727	1	11	015	309	09/11/2022		-7.990	0	09/11/2022	09/11/2022	TR Retif.mat.p/mat.	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	4.009	0,00	500088215	1	11	015	101	09/11/2022	4500513338	4.009	1	09/11/2022	09/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	4.157,300	0,00	500088232	1	11	015	101	09/11/2022	4500512770	4.157,300	1	09/11/2022	09/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	338,500	0,00	500087051	1	11	015	101	08/11/2022	4500513279	338,500	1	08/11/2022	08/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	476,500	0,00	500087050	1	11	015	101	08/11/2022	4500513278	476,500	1	08/11/2022	08/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	552	0,00	500087030	6	11	015	101	08/11/2022	4500513011	552	6	08/11/2022	08/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	7	0,00	500087030	9	11	015	101	08/11/2022	4500513011	7	9	08/11/2022	08/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	5.086,500	0,00	500086836	1	11	015	101	07/11/2022	4500512784	5.086,500	1	07/11/2022	07/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	2.720,500	0,00	500086808	1	11	015	101	07/11/2022	4500512425	2.720,500	1	07/11/2022	07/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-2.750	-10,45	491423277	2	11	015	905	07/11/2022		-2.750	0	07/11/2022	07/11/2022	SM para Alienação	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	1.835	0,00	500086921	1	11	015	101	07/11/2022	4500512913	1.835	1	07/11/2022	07/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	2.374	0,00	500086690	1	11	015	101	03/11/2022	4500512487	2.374	1	03/11/2022	03/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	226	0,00	500086709	1	11	015	101	03/11/2022	4500476006	226	6	03/11/2022	03/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	165	0,00	500086681	1	11	015	101	03/11/2022	4500512534	165	1	03/11/2022	03/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	129,500	0,00	500086696	1	11	015	101	03/11/2022	4500494589	129,500	3	03/11/2022	03/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	1.704,500	0,00	500086701	1	11	015	101	03/11/2022	4500512649	1.704,500	1	03/11/2022	03/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-9.370	-36,50	491411964	1	11	015	905	03/11/2022		-9.370	0	03/11/2022	03/11/2022	SM para Alienação	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	582,500	0,00	500086683	1	11	015	101	03/11/2022	4500512504	582,500	1	03/11/2022	03/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	12,950	0,00	500086436	2	11	015	101	28/10/2022	4500479403	12,950	12	28/10/2022	28/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	6.024	0,00	500086361	1	11	015	101	27/10/2022	4500512389	6.024	1	27/10/2022	27/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	103,500	0,00	500086397	1	11	015	101	27/10/2022	4500476000	103,500	13	27/10/2022	27/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	167,500	0,00	500086224	3	11	015	101	26/10/2022	4500496448	167,500	11	26/10/2022	26/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	3.824	0,00	500086244	2	11	015	101	26/10/2022	4500479403	3.824	12	26/10/2022	26/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	4.946,500	0,00	500086157	1	11	015	101	25/10/2022	4500512284	4.946,500	1	25/10/2022	25/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-8.540	-34,52	491380874	1	11	015	905	25/10/2022		-8.540	0	25/10/2022	25/10/2022	SM para Alienação	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	4.161	0,00	500086110	1	11	015	101	24/10/2022	4500512228	4.161	1	24/10/2022	24/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	10,500	0,00	500086052	1	11	015	101	21/10/2022	4500512219	10,500	1	21/10/2022	21/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	1.005	0,00	500086023	1	11	015	101	21/10/2022	4500512220	1.005	1	21/10/2022	21/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	31	0,00	500086021	1	11	015	101	21/10/2022	4500512221	31	1	21/10/2022	21/10/2022	EM estoque trânsito	0	
