DATA	Preço
4913	2,21
4915	6,00
4918	0,90
4919	11,53
4920	1,48
4921	23,52
4922	23,52
4925	15,00
4926	213,00
4927	1,50
4928	0,63
4930	4,47
4931	4,73
4932	15,90
4933	29,70
4935	34,90
4936	1,05
4937	60,90
4938	43,65
4939	55,00
4940	0,00
4942	30,30
4944	0,00
4945	76,46
4946	0,00
4949	24,76
4953	1,00
4954	1,00
4957	2,67
4958	84,12
4959	100,41
4961	22,64
4962	2,67
4963	2,00
4964	0,00
4965	32,37
4967	3,41
4968	32,35
4970	0,24
4971	0,32
4972	50,00
4973	0,00
4974	98,00
4975	1,70
4977	4,10
4980	21,00
4981	36,99
4982	27,90
4983	0,00
4990	4,30
4991	2,21
4994	5,91
4996	13,87
4998	8,48
4999	0,00
5000	9,74
5001	37,50
5002	0,00
5012	0,02
5013	0,16
5014	0,23
5015	0,03
5016	0,02
5033	0,00
5034	19,65
5040	0,00
5048	0,00
5049	0,25
5050	0,00
5053	0,00
5054	1,00
5056	43,17
5057	0,00
5058	0,00
5059	68,12
5060	0,00
5061	0,00
5062	0,00
5064	0,00
5068	24,92
5106	5,78
5113	125,00
5115	130,00
5122	145,00
5127	0,00
5131	14,99
5132	2,56
5133	1,58
5134	0,60
5140	23,50
5144	7,90
5152	0,00
5154	7,70
5181	0,00
5182	0,00
5183	0,00
5184	380,00
5185	32,00
5186	0,00
5187	0,00
5204	56,00
5230	1,35
5232	9,07
5235	6,47
5239	0,00
5251	0,00
5259	46,90
5260	36,14
5267	5,94
5271	0,00
5272	0,00
5285	200,00
5318	860,00
5338	68,24
5351	0,00
5417	6,00
5441	1,09
5444	9,90
5455	25,00
5456	0,00
5466	539,00
5469	130,00
5486	587,00
5496	30,00
5497	0,00
5498	14,76
5499	7,94
5500	0,00
5501	5,00
5509	2,65
5510	1,90
5511	56,64
5512	12,20
5513	19,90
5515	0,00
5516	0,00
5517	27,00
5518	1,85
5526	76,00
5527	34,22
5528	45,00
5531	18,00
5532	5,20
5539	1,71
5555	7062,83
5570	36,00
5573	42,75
5574	35,09
5576	43,73
5577	47,65
5578	41,50
5579	0,00
5580	32,41
5581	0,00
5582	18,00
5583	42,00
5584	12,00
5585	12,00
5592	13,68
5593	31,02
5603	0,00
5623	2,00
5624	3,30
