Material	Texto breve material	Quantidade	Montante em MI	Centro	Depósito	Tipo de movimento	Data de lançamento	Pedido	Qtd.  UM registro	Item	Data de entrada	Data do documento
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-9.530	-43,34	11	15	905	24/08/2022		-9.530	0	24/08/2022	24/08/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-5.530	-54,95	11	15	905	24/08/2022		-5.530	0	24/08/2022	24/08/2022
999635	SUCATA TRANSFORM POT ATÉ 30kVA ENROL AL	-6	-0,06	11	15	905	23/08/2022		-6	0	23/08/2022	23/08/2022
999636	SUCATA TRANSFORM POT 45 A 75kVA ENROL AL	-2	-0,02	11	15	905	23/08/2022		-2	0	23/08/2022	23/08/2022
999637	SUCATA TRANSFORM POT 100A150kVA ENROL AL	-6	-0,06	11	15	905	23/08/2022		-6	0	23/08/2022	23/08/2022
999660	SUCATA TRANSFORM POT ATÉ 30kVA ENR COBRE	-1	-0,01	11	15	905	23/08/2022		-1	0	23/08/2022	23/08/2022
999661	SUCATA TRANSFORM POT 45 A 75kVA EN COBRE	-5	-0,05	11	15	905	23/08/2022		-5	0	23/08/2022	23/08/2022
999662	SUCATA TRANSFORM POT 100A150kVA EN COBRE	-3	-0,03	11	15	905	23/08/2022		-3	0	23/08/2022	23/08/2022
999818	SUCATA CABO ALUMINIO ISOLADO C/ ALMA ACO	-14.950	-462,35	11	15	905	23/08/2022		-14.950	0	23/08/2022	23/08/2022
999909	SUCATA CARRETEL MADEIRA	-7.940	-79,08	11	15	905	23/08/2022		-7.940	0	23/08/2022	23/08/2022
999909	SUCATA CARRETEL MADEIRA	-7.600	-75,69	11	15	905	23/08/2022		-7.600	0	23/08/2022	23/08/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-6.390	-63,49	11	15	905	23/08/2022		-6.390	0	23/08/2022	23/08/2022
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-10.210	-46,57	11	15	905	22/08/2022		-10.210	0	22/08/2022	22/08/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-3.080	-30,60	11	15	905	22/08/2022		-3.080	0	22/08/2022	22/08/2022
999994	SUCATA DE POLIMEROS DIVERSOS	-2.260	-31,31	11	15	905	22/08/2022		-2.260	0	22/08/2022	22/08/2022
999997	SUCATA DE CRUZETA DE MADEIRA	-670	-6,47	11	15	905	22/08/2022		-670	0	22/08/2022	22/08/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-5.060	-50,27	11	15	905	19/08/2022		-5.060	0	19/08/2022	19/08/2022
999887	SUCATA POSTE CONCRETO	-28	-0,28	11	15	905	18/08/2022		-28	0	18/08/2022	18/08/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-5.490	-54,55	11	15	905	18/08/2022		-5.490	0	18/08/2022	18/08/2022
999883	SUCATA Fe BATIDO MISTO E CHAPARIA SOLTA	-12.570	-121,44	11	15	905	17/08/2022		-12.570	0	17/08/2022	17/08/2022
999887	SUCATA POSTE CONCRETO	-28	-0,28	11	15	905	17/08/2022		-28	0	17/08/2022	17/08/2022
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-8.550	-39,62	11	15	905	17/08/2022		-8.550	0	17/08/2022	17/08/2022
999818	SUCATA CABO ALUMINIO ISOLADO C/ ALMA ACO	-13.790	-455,73	11	15	905	16/08/2022		-13.790	0	16/08/2022	16/08/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-6.530	-64,88	11	15	905	16/08/2022		-6.530	0	16/08/2022	16/08/2022
999883	SUCATA Fe BATIDO MISTO E CHAPARIA SOLTA	-13.880	-134,23	11	15	905	15/08/2022		-13.880	0	15/08/2022	15/08/2022
999735	SUCATA FIO/CABO COBRE 2 CAPAS DE ISOLADO	-3.965	-13,38	11	15	905	11/08/2022		-3.965	0	11/08/2022	11/08/2022
999735	SUCATA FIO/CABO COBRE 2 CAPAS DE ISOLADO	-3.835	-12,94	11	15	905	11/08/2022		-3.835	0	11/08/2022	11/08/2022
999916	SUCATA CHAVES SECCIO/FACA/FUSÍVEL	-1.318	-1,73	11	15	905	11/08/2022		-1.318	0	11/08/2022	11/08/2022
999916	SUCATA CHAVES SECCIO/FACA/FUSÍVEL	-1.318	-1,73	11	15	905	11/08/2022		-1.318	0	11/08/2022	11/08/2022
