COD. CLIENTE;FORNECEDOR;DATA;CÓDIGO SAP;NUM. COLETA;NUM. SÉRIE;STATUS
27166;3C;;999959;90243374;9024337;NÃO EXPORTADO
27167;3C;;999959;84323931;8432393;NÃO EXPORTADO
27168;3C;;999959;82673667;8267366;NÃO EXPORTADO
27169;3C;;999959;62535595;6253559;NÃO EXPORTADO
27170;3C;;999959;7782797;7782797;NÃO EXPORTADO
27171;3C;;999958;5662532;5662532;NÃO EXPORTADO
27012;3C;;999959;75121239;7512123;NÃO EXPORTADO
27132;3C;;999959;7892880;7892880;NÃO EXPORTADO
27078;3C;;999958;57358257;5735825;NÃO EXPORTADO
27093;3C;;999959;6977839;6977839;NÃO EXPORTADO
27094;3C;;999959;7628315;7628315;NÃO EXPORTADO
27095;3C;;999959;7128366;7128366;NÃO EXPORTADO
27096;3C;;999959;6892259;6892259;NÃO EXPORTADO
27097;3C;;999959;7382705;7382705;NÃO EXPORTADO
27098;3C;;999959;73268780;7326878;NÃO EXPORTADO
27099;3C;;999959;84242493;8424249;NÃO EXPORTADO
27100;3C;;999959;9811513;9811513;NÃO EXPORTADO
27101;3C;;999959;7790005;7790005;NÃO EXPORTADO
27102;3C;;999959;81760469;8176046;NÃO EXPORTADO
27103;3C;;999959;84323680;8432368;NÃO EXPORTADO
27092;3C;;999959;7446473;7446473;NÃO EXPORTADO
27091;3C;;999959;7385721;7385721;NÃO EXPORTADO
27090;3C;;999959;7405732;7405732;NÃO EXPORTADO
27079;3C;;999958;3427048;3427048;NÃO EXPORTADO
27080;3C;;999958;1072301;1072301;NÃO EXPORTADO
27081;3C;;999958;54228409;5422840;NÃO EXPORTADO
27082;3C;;999958;4035115;4035115;NÃO EXPORTADO
27083;3C;;999958;3610833;3610833;NÃO EXPORTADO
27084;3C;;999958;3877890;3877890;NÃO EXPORTADO
27085;3C;;999958;3671208;3671208;NÃO EXPORTADO
27086;3C;;999958;5586672;5586672;NÃO EXPORTADO
27087;3C;;999958;4185473;4185473;NÃO EXPORTADO
27088;3C;;999958;3363313;3363313;NÃO EXPORTADO
27089;3C;;999958;5424041;5424041;NÃO EXPORTADO
27104;3C;;999959;67219381;6721938;NÃO EXPORTADO
27105;3C;;999959;71191267;7119126;NÃO EXPORTADO
27120;3C;;999958;52325989;5232598;NÃO EXPORTADO
27121;3C;;999958;27585972;2758597;NÃO EXPORTADO
27122;3C;;999958;51932067;5193206;NÃO EXPORTADO
27123;3C;;999958;16067827;1606782;NÃO EXPORTADO
27124;3C;;999958;51536439;5153643;NÃO EXPORTADO
27125;3C;;999958;51918897;5191889;NÃO EXPORTADO
27126;3C;;999958;5443562;5443562;NÃO EXPORTADO
27127;3C;;999958;19917996;1991799;NÃO EXPORTADO
27128;3C;;999958;60378557;6037855;NÃO EXPORTADO
27129;3C;;999958;5484940;5484940;NÃO EXPORTADO
27130;3C;;999958;2890637;2890637;NÃO EXPORTADO
27119;3C;;999959;9359427;9359427;NÃO EXPORTADO
27118;3C;;999959;72531916;7253191;NÃO EXPORTADO
27117;3C;;999959;82725179;8272517;NÃO EXPORTADO
27106;3C;;999959;71201602;7120160;NÃO EXPORTADO
27107;3C;;999959;67453805;6745380;NÃO EXPORTADO
27108;3C;;999959;65006136;6500613;NÃO EXPORTADO
27109;3C;;999959;7083137;7083137;NÃO EXPORTADO
27110;3C;;999959;67670891;6767089;NÃO EXPORTADO
27111;3C;;999959;7725103;7725103;NÃO EXPORTADO
27112;3C;;999959;84199709;8419970;NÃO EXPORTADO
27113;3C;;999959;94427810;9442781;NÃO EXPORTADO
27114;3C;;999959;7582861;7582861;NÃO EXPORTADO
27115;3C;;999959;8120137;8120137;NÃO EXPORTADO
27116;3C;;999959;9373565;9373565;NÃO EXPORTADO
27131;3C;;999958;52155820;5215582;NÃO EXPORTADO
26943;3C;;999959;85525545;8552554;NÃO EXPORTADO
25889;3C;;999959;9265708;9265708;NÃO EXPORTADO
26073;3C;;999958;9211551;9211551;NÃO EXPORTADO
26074;3C;;999958;74074016;7407401;NÃO EXPORTADO
26075;3C;;999958;74073630;7407363;NÃO EXPORTADO
26077;3C;;999958;74209558;7420955;NÃO EXPORTADO
26086;3C;;999958;67251285;6725128;NÃO EXPORTADO
26096;3C;;999958;67802052;6780205;NÃO EXPORTADO
26105;3C;;999958;6879466;6879466;NÃO EXPORTADO
26106;3C;;999959;82677093;8267709;NÃO EXPORTADO
26107;3C;;999959;8382673;8382673;NÃO EXPORTADO
26108;3C;;999959;81758588;8175858;NÃO EXPORTADO
26109;3C;;999959;9475844;9475844;NÃO EXPORTADO
26110;3C;;999959;9292133;9292133;NÃO EXPORTADO
26111;3C;;999959;9007854;9007854;NÃO EXPORTADO
26112;3C;;999959;9208245;9208245;NÃO EXPORTADO
26113;3C;;999959;9464136;9464136;NÃO EXPORTADO
26072;3C;;999958;52227952;5222795;NÃO EXPORTADO
26049;3C;;999958;3792212;3792212;NÃO EXPORTADO
26047;3C;;999958;3642075;3642075;NÃO EXPORTADO
25890;3C;;999959;9125912;9125912;NÃO EXPORTADO
25891;3C;;999958;1431624;1431624;NÃO EXPORTADO
25892;3C;;999958;4580627;4580627;NÃO EXPORTADO
25893;3C;;999958;5880005;5880005;NÃO EXPORTADO
25905;3C;;999958;9432984;9432984;NÃO EXPORTADO
25990;3C;;999958;5720274;5720274;NÃO EXPORTADO
26021;3C;;999958;53295897;5329589;NÃO EXPORTADO
26022;3C;;999958;64526909;6452690;NÃO EXPORTADO
26027;3C;;999958;5401819;5401819;NÃO EXPORTADO
26029;3C;;999958;4581321;4581321;NÃO EXPORTADO
26030;3C;;999958;51088649;5108864;NÃO EXPORTADO
26032;3C;;999958;52503445;5250344;NÃO EXPORTADO
26037;3C;;999958;3185781;3185781;NÃO EXPORTADO
26041;3C;;999958;3634927;3634927;NÃO EXPORTADO
26044;3C;;999958;1315880;1315880;NÃO EXPORTADO
26114;3C;;999959;9429351;9429351;NÃO EXPORTADO
26115;3C;;999959;63372738;6337273;NÃO EXPORTADO
26116;3C;;999959;9676304;9676304;NÃO EXPORTADO
26135;3C;;999958;4587406;4587406;NÃO EXPORTADO
26136;3C;;999958;4587413;4587413;NÃO EXPORTADO
26137;3C;;999958;4192110;4192110;NÃO EXPORTADO
