id;id_produto;n_serie;nm_fornecedor
372574;999959;8888341;ELLCA N. IGUAÇU 19/01
372575;999959;8365246;ELLCA N. IGUAÇU 19/01
372576;999959;9292946;ELLCA N. IGUAÇU 19/01
372577;999959;7859455;ELLCA N. IGUAÇU 19/01
372578;999959;10495430;ELLCA N. IGUAÇU 19/01
372579;999959;10540689;ELLCA N. IGUAÇU 19/01
372580;999959;8784782;ELLCA N. IGUAÇU 19/01
372581;999959;9715701;ELLCA N. IGUAÇU 19/01
372582;999959;7918951;ELLCA N. IGUAÇU 19/01
372583;999959;10315731;ELLCA N. IGUAÇU 19/01
372584;999959;8362876;ELLCA N. IGUAÇU 19/01
372585;999959;8261637;ELLCA N. IGUAÇU 19/01
372586;999959;7674548;ELLCA N. IGUAÇU 19/01
372587;999959;7963073;ELLCA N. IGUAÇU 19/01
372588;999959;8362460;ELLCA N. IGUAÇU 19/01
372589;999959;8435223;ELLCA N. IGUAÇU 19/01
372590;999959;9318402;ELLCA N. IGUAÇU 19/01
372591;999959;9317417;ELLCA N. IGUAÇU 19/01
372592;999959;10551442;ELLCA N. IGUAÇU 19/01
372593;999959;7789533;3c service 19/01 nota 759 763
372594;999959;7742872;3c service 19/01 nota 759 763
372595;999959;9763394;3c service 19/01 nota 759 763
372596;999959;7246159;3c service 19/01 nota 759 763
372597;999959;6611481;3c service 19/01 nota 759 763
372598;999959;91206766;3c service 19/01 nota 759 763
372599;999959;8537609-4;3c service 19/01 nota 759 763
372600;999959;91059038;3c service 19/01 nota 759 763
372601;999959;6651619-6;3c service 19/01 nota 759 763
372602;999959;78370663;3c service 19/01 nota 759 763
372603;999959;9850999;3c service 19/01 nota 759 763
372604;999959;8028527;3c service 19/01 nota 759 763
372605;999959;10259184;3c service 19/01 nota 759 763
372606;999959;10116515;3c service 19/01 nota 759 763
372607;999959;7801673;3c service 19/01 nota 759 763
372608;999959;85526461;3c service 19/01 nota 759 763
372609;999959;9770570;3c service 19/01 nota 759 763
372610;999959;9296822;3c service 19/01 nota 759 763
372611;999959;85526452;3c service 19/01 nota 759 763
372612;999959;10340856;3c service 19/01 nota 759 763
372613;999959;9157561;3c service 19/01 nota 759 763
372614;999959;7013127;3c service 19/01 nota 759 763
372615;999959;7428759;3c service 19/01 nota 759 763
372616;999959;9391198;3c service 19/01 nota 759 763
372617;999959;8273010-5;3c service 19/01 nota 759 763
372618;999959;10250105;3c service 19/01 nota 759 763
372619;999959;6677530-2;3c service 19/01 nota 759 763
372620;999959;10899287;3c service 19/01 nota 759 763
372621;999959;10644546;3c service 19/01 nota 759 763
372622;999959;9836680;3c service 19/01 nota 759 763
372623;999959;7169021-2;3c service 19/01 nota 759 763
372624;999959;6883806-9;3c service 19/01 nota 759 763
372625;999959;7434132-4;3c service 19/01 nota 759 763
372626;999959;10904972;3c service 19/01 nota 759 763
372627;999959;89806301;3c service 19/01 nota 759 763
372628;999959;9146803;3c service 19/01 nota 759 763
372629;999959;10014613;ELLCA N. IGUAÇU 19/01
372630;999959;8265555;ELLCA N. IGUAÇU 19/01
372631;999959;9314082;ELLCA N. IGUAÇU 19/01
372632;999959;7919224;ELLCA N. IGUAÇU 19/01
372633;999959;10494543;ELLCA N. IGUAÇU 19/01
372634;999959;10099897;ELLCA N. IGUAÇU 19/01
372635;999959;10736746;ELLCA N. IGUAÇU 19/01
372636;999959;10492637;ELLCA N. IGUAÇU 19/01
372637;999959;7859348;ELLCA N. IGUAÇU 19/01
372638;999959;8389160;ELLCA N. IGUAÇU 19/01
372639;999959;7674550;ELLCA N. IGUAÇU 19/01
372640;999959;9718915;ELLCA N. IGUAÇU 19/01
372641;999959;8713860;ELLCA N. IGUAÇU 19/01
372642;999959;8005505;ELLCA N. IGUAÇU 19/01
372643;999959;7860063;ELLCA N. IGUAÇU 19/01
372644;999959;8054540;ELLCA N. IGUAÇU 19/01
372645;999959;11205027;ELLCA N. IGUAÇU 19/01
372646;999959;10520792;ELLCA N. IGUAÇU 19/01
372647;999959;8248490;ELLCA N. IGUAÇU 19/01
372648;999959;8849482;ELLCA N. IGUAÇU 19/01
372649;999959;8014690;ELLCA N. IGUAÇU 19/01
372650;999959;8777094;ELLCA N. IGUAÇU 19/01
372651;999959;8768754;ELLCA N. IGUAÇU 19/01
372652;999959;9410025;3c service 19/01 nota 759 763
372653;999959;9657846;ELLCA N. IGUAÇU 19/01
372654;999959;8743905;ELLCA N. IGUAÇU 19/01
372655;999959;6537752;3c service 19/01 nota 759 763
372656;999959;7670977;ELLCA N. IGUAÇU 19/01
372657;999959;8044226;ELLCA N. IGUAÇU 19/01
372658;999959;10016169;ELLCA N. IGUAÇU 19/01
372659;999959;8068177;ELLCA N. IGUAÇU 19/01
372660;999959;8324414;ELLCA N. IGUAÇU 19/01
372661;999959;10753763;3c service 19/01 nota 759 763
372662;999959;10494381;ELLCA N. IGUAÇU 19/01
372663;999959;9233862;3c service 19/01 nota 759 763
372664;999959;8221483;ELLCA N. IGUAÇU 19/01
372665;999959;8067732;ELLCA N. IGUAÇU 19/01
372666;999959;10347939;3c service 19/01 nota 759 763
372667;999959;8578030;ELLCA N. IGUAÇU 19/01
372668;999959;7021516;3c service 19/01 nota 759 763
372669;999959;8853388;ELLCA N. IGUAÇU 19/01
372670;999959;8698768;ELLCA N. IGUAÇU 19/01
372671;999959;84333081;3c service 19/01 nota 759 763
372672;999959;8700065;ELLCA N. IGUAÇU 19/01
372673;999959;7770251;3c service 19/01 nota 759 763
372674;999959;8265721;ELLCA N. IGUAÇU 19/01
372675;999959;9962423;3c service 19/01 nota 759 763
372676;999959;8765199;ELLCA N. IGUAÇU 19/01
372677;999959;8007803;ELLCA N. IGUAÇU 19/01
372678;999959;72664461;3c service 19/01 nota 759 763
372679;999959;8499208;ELLCA N. IGUAÇU 19/01
372680;999959;8738444;ELLCA N. IGUAÇU 19/01
372681;999959;9620050;3c service 19/01 nota 759 763
372682;999959;10514896;ELLCA N. IGUAÇU 19/01
372683;999959;10038113;3c service 19/01 nota 759 763
372684;999959;9717066;ELLCA N. IGUAÇU 19/01
372685;999959;10009534;3c service 19/01 nota 759 763
372686;999959;8240226;ELLCA N. IGUAÇU 19/01
372687;999959;6796690;3c service 19/01 nota 759 763
372688;999959;8390810;ELLCA N. IGUAÇU 19/01
372689;999959;8393512;ELLCA N. IGUAÇU 19/01
372690;999959;8374705-2;ELLCA N. IGUAÇU 19/01
372691;999959;7964307;ELLCA N. IGUAÇU 19/01
372692;999959;10514254;ELLCA N. IGUAÇU 19/01
372693;999959;9714167;ELLCA N. IGUAÇU 19/01
372694;999959;8578679;ELLCA N. IGUAÇU 19/01
372695;999959;7917609;ELLCA N. IGUAÇU 19/01
372696;999959;8848608;ELLCA N. IGUAÇU 19/01
372697;999959;10726438;ELLCA N. IGUAÇU 19/01
372698;999959;8718173;ELLCA N. IGUAÇU 19/01
372699;999959;8066175;ELLCA N. IGUAÇU 19/01
372700;999959;9294951;ELLCA N. IGUAÇU 19/01
372701;999959;8245052;ELLCA N. IGUAÇU 19/01
372702;999959;9709487;ELLCA N. IGUAÇU 19/01
372703;999959;11205140;ELLCA N. IGUAÇU 19/01
372704;999959;8007547;ELLCA N. IGUAÇU 19/01
372705;999959;8062036;ELLCA N. IGUAÇU 19/01
372706;999959;8360684;ELLCA N. IGUAÇU 19/01
372707;999959;8048152;ELLCA N. IGUAÇU 19/01
372708;999959;9716705;ELLCA N. IGUAÇU 19/01
372709;999959;10492409;ELLCA N. IGUAÇU 19/01
372710;999959;8585369;ELLCA N. IGUAÇU 19/01
372711;999959;8050321;ELLCA N. IGUAÇU 19/01
372712;999959;10737522;ELLCA N. IGUAÇU 19/01
372713;999959;8262002;ELLCA N. IGUAÇU 19/01
372714;999959;8261317;ELLCA N. IGUAÇU 19/01
372715;999959;8696529;ELLCA N. IGUAÇU 19/01
372716;999959;10196422;ELLCA N. IGUAÇU 19/01
